n,method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
2500.0,SC-DCF-LS,0.12868736129968306,0.0026724057066873017,6,0.02908249054739651,0.0010443740670832817,6,0.23035564813540457,0.006176820451384328,6,0.9538275497310343,0.001056551050378344,6,0.021002833333333266,0.008000586059449805,6,0.0027045833333331584,0.0006764020769235816,6,0.002624900000000041,0.001004182895691898,6,41,0.0,6,0.0010910050611809628,0.0004263639274915416,0.002521676389779879,0.0004313351601047578,0.0032662255814793974,0.0002761399915702586,0.00040995595047926906,0.0
2500.0,kNN,0.15872080793732185,0.004402581893093471,6,0.041039656714970625,0.0010649725962733527,6,0.278847104802317,0.009359671372879562,6,0.9440151296329296,0.0016955185393303562,6,0.03073388333333334,0.002133310601311119,6,0.0,0.0,6,0.03073388333333334,0.002133310601311119,6,0,0.0,6,0.0017973465314825674,0.0004347732418194581,0.0038210698372816393,0.0006921925451314041,0.0008709204060137002,0.0,0.0008709204060137002,0.0
5000.0,Independent DCF-LS,0.1235245482162085,0.002071558485697142,6,0.02677120117645415,0.000860411876011804,6,0.2200003769530048,0.004044410467772574,6,0.9563139234053449,0.0005108762980421194,6,0.22484289999999874,0.018305080051067752,6,0.030967833333333417,0.002753343426212242,6,0.02099964999999922,0.002761694220400791,6,58,0.0,6,0.0008457102103817672,0.00035126167747662424,0.0016511236594023062,0.00020856437531420222,0.0074730176376525724,0.0011240477468110633,0.0011274569442625538,0.0
5000.0,MO-RF,0.13791387106165684,0.002339072700611609,6,0.030487750568386273,0.0005965928257323334,6,0.2452974280874378,0.005823595343696274,6,0.9512596845694685,0.0013267232287684603,6,0.8768456333333332,0.17197567876793127,6,0.0,0.0,6,0.8768456333333332,0.17197567876793127,6,0,0.0,6,0.0009549224312953807,0.00024355800120823046,0.0023774728434173167,0.0005416324900634206,0.0702087768583704,0.0,0.0702087768583704,0.0
5000.0,MO-Ridge,1.7311600552757238,0.06096197086445723,6,0.6355502718408349,0.02528280961381643,6,2.7941808885582606,0.11656014225543312,6,0.4398556572736165,0.007319444206087154,6,0.003272366666666452,0.0017744825349000838,6,0.0,0.0,6,0.003272366666666452,0.0017744825349000838,6,0,0.0,6,0.024887620388722494,0.01032166380296388,0.04758547881200526,0.0029881505842807078,0.0007244294613309414,0.0,0.0007244294613309414,0.0
5000.0,PLS,1.7325520738415732,0.06074089661152529,6,0.6361229284849094,0.025244187024724803,6,2.796440487533451,0.11632729821146659,6,0.43940227130241416,0.0072330102094661005,6,0.0360426833333336,0.011161119489624309,6,0.0,0.0,6,0.0360426833333336,0.011161119489624309,6,0,0.0,6,0.024797367202897453,0.010305896196993933,0.04749042062911123,0.0029528640529222034,0.004556507951302028,0.0,0.004556507951302028,0.0
5000.0,SC-DCF-LS,0.12352454821621539,0.0020715584857321397,6,0.026771201176468102,0.0008604118760240237,6,0.2200003769530153,0.004044410467788079,6,0.9563139234053432,0.0005108762980301298,6,0.06568811666666703,0.023517361973522246,6,0.0076575000000003906,0.0023910116377800494,6,0.009589050000000062,0.007968770176319378,6,58,0.0,6,0.0008457102103960548,0.0003512616774816129,0.001651123659408636,0.0002085643753093075,0.009600922821910317,0.0009761264136029065,0.0032532368015818023,0.0
5000.0,kNN,0.1416917436002238,0.002764121398102773,6,0.03448246301802505,0.0008201132412272516,6,0.2499228451908598,0.006354912744768476,6,0.9502972667275104,0.0009025188876784909,6,0.1385803833333338,0.011079252228993459,6,0.0,0.0,6,0.1385803833333338,0.011079252228993459,6,0,0.0,6,0.00112844783541004,0.0003348098287178032,0.002594382264098746,0.00036845179300609113,0.004523085782104524,0.0,0.004523085782104524,0.0
10000.0,Independent DCF-LS,0.1194997098990141,0.0018751445439300497,6,0.02500086770689112,0.0004799000727030225,6,0.21393244596801977,0.003907894025631613,6,0.9571536439041547,0.0008806980144041975,6,0.5644027000000046,0.013971206702355283,6,0.08260626666666908,0.003069685353697231,6,0.03404194999999858,0.0025534781211130485,6,80,0.0,6,0.0007655245544320829,0.00019591838427449252,0.0015953910552780498,0.0003595434587954323,0.0057037212519538095,0.0012531937979088535,0.0010424530776812792,0.0
10000.0,MO-RF,0.1337077560923845,0.0016698204284319687,6,0.029079869836352617,0.0005476905055194781,6,0.23868631711881852,0.0036399771880898314,6,0.9521967743853188,0.0007838690902039808,6,2.589776166666667,0.11144644926084835,6,0.0,0.0,6,2.589776166666667,0.11144644926084835,6,0,0.0,6,0.0006817013352889866,0.0002235937125816159,0.001486014464365133,0.0003200132160232388,0.04549782238900899,0.0,0.04549782238900899,0.0
