experiment,dataset,method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
real_atp7d,ATP7d,SC-DCF-LS,262123.9507223984,397881.2769533685,5,205845.05606044247,381895.43960231356,5,17.174255545063648,22.443185258363343,5,-1.9461963531080801,3.383364340099234,5,0.027215560000013284,0.0041832721944913475,5,0.003528980000010051,0.0003976784593228249,5,0.0007614200000261917,0.00012173486352291148,5,39,0.0,5,177937.91644843048,170788.83264958765,10.036897573864323,1.513086531422121,0.0018708161990534748,0.0001778472136466443,5.444148601377792e-05,0.0
real_atp7d,ATP7d,kNN,29136.592847708722,6366.928310179188,5,10268.228427871942,3715.00363399645,5,2.8289781294718415,0.7370166639000624,5,0.5469836284136759,0.07389899120317059,5,0.003627819999996973,0.0010016512277444861,5,0.0,0.0,5,0.003627819999996973,0.0010016512277444861,5,0,0.0,5,2847.376901885706,1661.400132454962,0.3296038722061309,0.03304863355978968,0.0004479520469965588,0.0,0.0004479520469965588,0.0
real_communities,Communities,Independent DCF-LS,16094652.427173462,19878931.078349207,5,9406973.273217116,12090595.538360795,5,7.26181114592853,5.7388521745563414,5,0.1503154161838029,0.565582468309426,5,1.3068780000002789,0.18593585462071355,5,0.6166493000001083,0.09574060857365359,5,0.022582840000109173,0.0023972302836030583,5,80,0.0,5,8890128.242244404,5407078.702446081,2.5664927150260937,0.25293616920439943,0.08315304207728677,0.04281650179557772,0.0010720739743715075,0.0
real_communities,Communities,MO-RF,6909494.452630326,2357156.780392582,5,3896760.786789267,1288727.4148061264,5,4.058157038770746,0.6344024236023317,5,0.5020542234685397,0.03148397857943388,5,5.536062019999986,0.45912642594622516,5,0.0,0.0,5,5.536062019999986,0.45912642594622516,5,0,0.0,5,1054152.5589164714,576336.4207948134,0.2837133888530861,0.014080063261152282,0.20532757973645652,0.0,0.20532757973645652,0.0
real_communities,Communities,MO-Ridge,6596568.2997481655,2992895.894773982,5,3639188.714797786,1622842.4641705425,5,4.384421191060582,1.5410518625086767,5,0.4593633985744775,0.163418986264128,5,0.01038522000001194,0.002269084561490985,5,0.0,0.0,5,0.01038522000001194,0.002269084561490985,5,0,0.0,5,1338463.7340589361,725757.21333172,0.6891793442844121,0.07308319242013893,0.0010147654652378287,0.0,0.0010147654652378287,0.0
real_communities,Communities,PLS,6963804.737893986,2929729.3117125053,5,3871137.4002197934,1618193.0505962982,5,4.47140795189361,1.0752439680728556,5,0.45181586114353484,0.09548016816969926,5,0.0519615000000158,0.006523409825382488,5,0.0,0.0,5,0.0519615000000158,0.006523409825382488,5,0,0.0,5,1310214.7793325665,723677.9323702159,0.4808637210015037,0.042700029306111845,0.002917357562929055,0.0,0.002917357562929055,0.0
real_communities,Communities,SC-DCF-LS,16094652.42717273,19878931.07834702,5,9406973.273214888,12090595.538355054,5,7.261811145927541,5.73885217455431,5,0.15031541618396418,0.5655824683090888,5,0.1562898000000132,0.019598520008581696,5,0.07765870000000633,0.007902727263450838,5,0.0037617599999975938,0.0016510926951937427,5,80,0.0,5,8890128.242243426,5407078.702443513,2.566492715025185,0.2529361692042486,0.008764724599515687,0.003534207073743392,0.0007383911007213098,0.0
real_communities,Communities,kNN,7098893.55210268,2527995.0139402174,5,4022473.153734123,1405231.9950689366,5,4.377188705479473,0.6613930946659774,5,0.46437731851303077,0.038859507780436724,5,0.01532775999999103,0.0011706810957851767,5,0.0,0.0,5,0.01532775999999103,0.0011706810957851767,5,0,0.0,5,1130553.7395901708,628438.8530263583,0.2957839839044158,0.017378500193847696,0.0005235445020299195,0.0,0.0005235445020299195,0.0
real_edm,EDM,Independent DCF-LS,0.37255337025217045,0.10753447601589519,5,0.2649909139529885,0.09853563568700938,5,1.3043212135768183,0.34416193328793765,5,0.1710283593777564,0.36856270969585064,5,0.001409020000005512,0.0005482722106919347,5,0.0003307999999833555,0.00011512755971810856,5,0.0006362400000398339,0.000253036851053046,5,12,0.0,5,0.04809087965927248,0.04406647592046143,0.15391389561991525,0.16482625457028857,0.0002451947866562506,5.148660992267145e-05,0.00011316151995342002,0.0
real_edm,EDM,MO-RF,0.25100800477897256,0.07203087717213003,5,0.18948363201911592,0.0576678438149442,5,0.8365220272453714,0.294566733670936,5,0.4450899737260373,0.3630680841109216,5,0.05732583999997587,0.008564847090195546,5,0.0,0.0,5,0.05732583999997587,0.008564847090195546,5,0,0.0,5,0.03221318756716411,0.025789843777211205,0.1317342480796578,0.1623689833065264,0.0038303160621137025,0.0,0.0038303160621137025,0.0
real_edm,EDM,MO-Ridge,0.33450426998835403,0.08958770080775179,5,0.22819675112173493,0.059740694847749444,5,1.2263975374178444,0.4284781951092468,5,0.2711377245749337,0.26789640393896136,5,0.0012116999999989275,0.0005588369529754704,5,0.0,0.0,5,0.0012116999999989275,0.0005588369529754704,5,0,0.0,5,0.04006483779080916,0.02671685094052784,0.19162127422813874,0.119806914027052,0.00024991948303840103,0.0,0.00024991948303840103,0.0
real_edm,EDM,PLS,0.3860999449471983,0.09481855961472317,5,0.2656877669003133,0.07943063435673965,5,1.40551555053018,0.40116624383247845,5,0.1811917521880852,0.27864132358073945,5,0.0015789799999993193,0.000763694645772786,5,0.0,0.0,5,0.0015789799999993193,0.000763694645772786,5,0,0.0,5,0.042404148965427456,0.03552245958352002,0.1794069982975355,0.1246121881734097,0.0003415346284001144,0.0,0.0003415346284001144,0.0
real_edm,EDM,SC-DCF-LS,0.37255337025217033,0.10753447601589516,5,0.26499091395298835,0.09853563568700925,5,1.3043212135768185,0.3441619332879391,5,0.17102835937775687,0.36856270969584864,5,0.0009255999999368214,0.0004042381538271921,5,0.00016477999995458958,9.863109046545968e-05,5,0.0005006599999660466,0.0003197908503932382,5,12,0.0,5,0.048090879659272466,0.044066475920461375,0.1539138956199159,0.16482625457028768,0.00018078079821132366,4.410916459513984e-05,0.0001430148160123492,0.0
real_edm,EDM,kNN,0.37475517639740513,0.09732930523055006,5,0.2727326046387629,0.08723091201354917,5,1.2952121397988368,0.3699273158264959,5,0.19673768722845023,0.3767181849070534,5,0.0011591999999836845,0.0008949377073227975,5,0.0,0.0,5,0.0011591999999836845,0.0008949377073227975,5,0,0.0,5,0.043526988539667154,0.0390108498003198,0.16543652498441572,0.16847349396250133,0.0004002283098403173,0.0,0.0004002283098403173,0.0
real_energy,Energy,Independent DCF-LS,13.708903445666019,1.1941012448653328,5,8.039021644251736,0.7960094687390276,5,0.14474009157105266,0.012730924966643487,5,0.9274005886333285,0.006176557902973676,5,0.011640060000058839,0.0026550570688309368,5,0.0026232199999867587,0.00048066272686906984,5,0.0033638200000268626,0.000656024726722994,5,48,0.0,5,0.5340183111072011,0.3559862565667919,0.005693442728372816,0.002762240667602538,0.0011873776180094625,0.00021495890630593095,0.0002933831767746675,0.0
real_energy,Energy,MO-RF,3.5870601783566096,0.46403926934991097,5,3.358908293002385,0.424364761692301,5,0.03941546753540008,0.005092604950494644,5,0.9802368928522455,0.0024921840746400764,5,0.0990700400000378,0.026778674017212345,5,0.0,0.0,5,0.0990700400000378,0.026778674017212345,5,0,0.0,5,0.2075246700991471,0.18978169087989671,0.002277482170371595,0.001114538600667524,0.011975787089958835,0.0,0.011975787089958835,0.0
real_energy,Energy,MO-Ridge,18.92880019416318,1.8758364905292537,5,10.336400478373207,1.4358779833758666,5,0.19887826739759298,0.02055678833143903,5,0.900353855187823,0.00990460676699209,5,0.0010527400000000854,0.00025755731987254273,5,0.0,0.0,5,0.0010527400000000854,0.00025755731987254273,5,0,0.0,5,0.8388995814996103,0.6421441556447501,0.009193275221634429,0.004429474804279746,0.0001151831350675326,0.0,0.0001151831350675326,0.0
real_energy,Energy,PLS,26.15438475115721,2.902946730762671,5,14.305554963371147,1.9090710309230337,5,0.2747336784817208,0.031079374066598185,5,0.8623180838856316,0.015494025284737882,5,0.0012162600000237944,0.00028217470292074873,5,0.0,0.0,5,0.0012162600000237944,0.00028217470292074873,5,0,0.0,5,1.2982372450092223,0.8537625198039013,0.013899118622211522,0.006929138756354888,0.00012619236345232053,0.0,0.00012619236345232053,0.0
