method,total_time,afpc_time,fit_time,K,cover_radius,active_pieces,summed_mse,max_coord_mse,std_summed_mse,avg_r2,experiment,n,m,rep,d,q,dict_time,estimated_peak_array_mib,coord_count_measured,timing_note,corr,dataset,config,center_rule,feature_mode,max_k,single_afpc_time,projected_afpc_time,actual_repeated_afpc_time,actual_projected_ratio
kNN,0.1411763999999991,0.0,0.1411763999999991,0,,0.0,0.14237270474820254,0.03556085565228622,0.24977093780075385,0.9494848209932784,rate,5000.0,5,2.0,,,,,,,,,,,,,,,,
MO-RF,0.8616203999999996,0.0,0.8616203999999996,0,,0.0,0.13874080102848432,0.030104153938574456,0.24544852459916436,0.9503111602654215,rate,5000.0,5,2.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0021818000000006776,0.0,0.0021818000000006776,0,,0.0,1.748672771902362,0.6342625969503441,2.807646527697481,0.43356622148662743,rate,5000.0,5,2.0,,,,,,,,,,,,,,,,
PLS,0.0406745000000015,0.0,0.0406745000000015,0,,0.0,1.749552955055941,0.6348028784720501,2.8092531620750436,0.43324295134544555,rate,5000.0,5,2.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.044538299999999253,0.005707600000000923,0.005655599999998984,58,1.233896314477005,58.0,0.12623882587434634,0.027504880739048734,0.22117413680507636,0.9570522140884956,rate,5000.0,5,3.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.2149727999999982,0.028997300000000337,0.01976009999999917,58,1.233896314477005,58.0,0.12623882587422766,0.027504880738961252,0.22117413680491133,0.9570522140885276,rate,5000.0,5,3.0,,,,,,,,,,,,,,,,
kNN,0.12974720000000062,0.0,0.12974720000000062,0,,0.0,0.14231723745829822,0.03450959287437447,0.24812970041135732,0.951753103263106,rate,5000.0,5,3.0,,,,,,,,,,,,,,,,
MO-RF,0.9749662000000008,0.0,0.9749662000000008,0,,0.0,0.13542077502695093,0.030300898720812604,0.23883205725427356,0.9536203654402277,rate,5000.0,5,3.0,,,,,,,,,,,,,,,,
MO-Ridge,0.006778199999999401,0.0,0.006778199999999401,0,,0.0,1.7629332373903217,0.6570519450060144,2.857366287233094,0.44166441238693643,rate,5000.0,5,3.0,,,,,,,,,,,,,,,,
PLS,0.05018360000000044,0.0,0.05018360000000044,0,,0.0,1.7646796801164981,0.657901557240053,2.859970765605727,0.4411542697960019,rate,5000.0,5,3.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.06553810000000126,0.006043800000000488,0.0049845000000008355,58,1.1611916063140955,58.0,0.12427794876673448,0.027757737686273255,0.22045479519790687,0.9559887895565279,rate,5000.0,5,4.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.24138769999999532,0.03596319999999942,0.023729899999997528,58,1.1611916063140955,58.0,0.12427794876677298,0.027757737686280013,0.2204547951979513,0.9559887895565187,rate,5000.0,5,4.0,,,,,,,,,,,,,,,,
kNN,0.14126550000000115,0.0,0.14126550000000115,0,,0.0,0.1394628663141006,0.033593127228380724,0.24487640372341268,0.9510356147681795,rate,5000.0,5,4.0,,,,,,,,,,,,,,,,
MO-RF,1.0018484999999995,0.0,1.0018484999999995,0,,0.0,0.13577591537394015,0.029582434504547506,0.2408082518110069,0.95191642518338,rate,5000.0,5,4.0,,,,,,,,,,,,,,,,
MO-Ridge,0.002984099999999046,0.0,0.002984099999999046,0,,0.0,1.744269022574635,0.6477183978652833,2.7786407099076875,0.4402924222603063,rate,5000.0,5,4.0,,,,,,,,,,,,,,,,
PLS,0.03576610000000002,0.0,0.03576610000000002,0,,0.0,1.7454774577683834,0.6482909154583057,2.7806241331923327,0.43989506702241793,rate,5000.0,5,4.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.05769330000000039,0.007428400000000224,0.014735099999999335,58,1.277658941949878,58.0,0.12153167213464978,0.02662506222367445,0.2164642539908521,0.9555691042540662,rate,5000.0,5,5.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.20863559999999737,0.02960850000000015,0.018085499999999755,58,1.277658941949878,58.0,0.1215316721346711,0.02662506222367273,0.21646425399088304,0.9555691042540598,rate,5000.0,5,5.0,,,,,,,,,,,,,,,,
kNN,0.14148280000000035,0.0,0.14148280000000035,0,,0.0,0.1382338812134826,0.03369764187070844,0.2435254617337681,0.9497541619208599,rate,5000.0,5,5.0,,,,,,,,,,,,,,,,
MO-RF,0.6833478999999993,0.0,0.6833478999999993,0,,0.0,0.13690322707476804,0.030811881108904454,0.24294364886805891,0.9500354697169733,rate,5000.0,5,5.0,,,,,,,,,,,,,,,,
MO-Ridge,0.002461399999999614,0.0,0.002461399999999614,0,,0.0,1.6145041245417708,0.5904290331273896,2.5819596043119613,0.4527014731053917,rate,5000.0,5,5.0,,,,,,,,,,,,,,,,
PLS,0.028958299999999326,0.0,0.028958299999999326,0,,0.0,1.6163342243701266,0.5911505589623823,2.5847721521406717,0.45210897254115157,rate,5000.0,5,5.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.19703359999999925,0.026361299999999588,0.022200699999999074,80,1.092778138703091,80.0,0.12006766533838367,0.025165416182463436,0.21565866921514093,0.9571187799898808,rate,10000.0,5,0.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.5829822999999976,0.07967699999999844,0.03568289999999941,80,1.092778138703091,80.0,0.12006766533839303,0.025165416182466295,0.21565866921515922,0.9571187799898772,rate,10000.0,5,0.0,,,,,,,,,,,,,,,,
kNN,0.5904568000000019,0.0,0.5904568000000019,0,,0.0,0.13354681296503107,0.03049034638019858,0.2381856544698148,0.9526610355659967,rate,10000.0,5,0.0,,,,,,,,,,,,,,,,
MO-RF,2.659101100000001,0.0,2.659101100000001,0,,0.0,0.13434692688273095,0.02912612394849419,0.2407108874322101,0.9521395223849565,rate,10000.0,5,0.0,,,,,,,,,,,,,,,,
MO-Ridge,0.004267699999999763,0.0,0.004267699999999763,0,,0.0,1.7398044962784016,0.6362573729015399,2.845023327257404,0.4351103625241686,rate,10000.0,5,0.0,,,,,,,,,,,,,,,,
PLS,0.034667299999998846,0.0,0.034667299999998846,0,,0.0,1.739757979883352,0.6363473662099568,2.844918523824592,0.4351303132067311,rate,10000.0,5,0.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.18947230000000204,0.020150000000001,0.01067989999999952,80,1.0745666107490526,80.0,0.11933391139459078,0.025423618790009456,0.21410528188356012,0.9580065380144163,rate,10000.0,5,1.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.5510801000000036,0.08209410000000261,0.03239479999999517,80,1.0745666107490526,80.0,0.11933391139462429,0.025423618790013574,0.21410528188360403,0.9580065380144076,rate,10000.0,5,1.0,,,,,,,,,,,,,,,,
